1339760
font: 34039 	P(word|spam): 0.025407 	P(spam|word): 0.997671
return: 1481 	P(word|spam): 0.001105 	P(spam|word): 0.681424
more: 1472 	P(word|spam): 0.001099 	P(spam|word): 0.810612
cellpadding: 1471 	P(word|spam): 0.001098 	P(spam|word): 0.998760
0400: 1469 	P(word|spam): 0.001096 	P(spam|word): 0.564637
jun: 1453 	P(word|spam): 0.001085 	P(spam|word): 0.994685
000: 1428 	P(word|spam): 0.001066 	P(spam|word): 0.978102
mime: 1420 	P(word|spam): 0.001060 	P(spam|word): 0.679422
please: 1412 	P(word|spam): 0.001054 	P(spam|word): 0.951086
wed: 1405 	P(word|spam): 0.001049 	P(spam|word): 0.557672
25: 1400 	P(word|spam): 0.001045 	P(spam|word): 0.736091
ssz: 1394 	P(word|spam): 0.001040 	P(spam|word): 0.900000
option: 1392 	P(word|spam): 0.001039 	P(spam|word): 0.972247
get: 1389 	P(word|spam): 0.001037 	P(spam|word): 0.801752
23: 1379 	P(word|spam): 0.001029 	P(spam|word): 0.643462
top: 1378 	P(word|spam): 0.001029 	P(spam|word): 0.974170
new: 1376 	P(word|spam): 0.001027 	P(spam|word): 0.820523
thu: 1361 	P(word|spam): 0.001016 	P(spam|word): 0.647962
19: 1331 	P(word|spam): 0.000993 	P(spam|word): 0.544795
yyyy: 1329 	P(word|spam): 0.000992 	P(spam|word): 0.658510
do: 1326 	P(word|spam): 0.000990 	P(spam|word): 0.754241
right: 1326 	P(word|spam): 0.000990 	P(spam|word): 0.928670
dogma: 1319 	P(word|spam): 0.000985 	P(spam|word): 0.612251
slashnull: 1318 	P(word|spam): 0.000984 	P(spam|word): 0.612591
out: 1310 	P(word|spam): 0.000978 	P(spam|word): 0.804503
cypherpunks: 1308 	P(word|spam): 0.000976 	P(spam|word): 0.993065
18: 1302 	P(word|spam): 0.000972 	P(spam|word): 0.651935
an: 1293 	P(word|spam): 0.000965 	P(spam|word): 0.710417
aug: 1280 	P(word|spam): 0.000955 	P(spam|word): 0.261347
13: 1280 	P(word|spam): 0.000955 	P(spam|word): 0.571072
input: 1280 	P(word|spam): 0.000955 	P(spam|word): 0.985235
left: 1274 	P(word|spam): 0.000951 	P(spam|word): 0.977914
images: 1271 	P(word|spam): 0.000949 	P(spam|word): 0.977863
u: 1257 	P(word|spam): 0.000938 	P(spam|word): 0.930049
minder: 1245 	P(word|spam): 0.000929 	P(spam|word): 0.999267
spamassassin: 1245 	P(word|spam): 0.000929 	P(spam|word): 0.378029
blockquote: 1239 	P(word|spam): 0.000925 	P(spam|word): 0.997060
one: 1237 	P(word|spam): 0.000923 	P(spam|word): 0.722936
valign: 1237 	P(word|spam): 0.000923 	P(spam|word): 0.998157
mailto: 1235 	P(word|spam): 0.000922 	P(spam|word): 0.439465
mandark: 1225 	P(word|spam): 0.000914 	P(spam|word): 0.983860
path: 1224 	P(word|spam): 0.000914 	P(spam|word): 0.640839
transfer: 1208 	P(word|spam): 0.000902 	P(spam|word): 0.781615
family: 1194 	P(word|spam): 0.000891 	P(spam|word): 0.974285
yahoo: 1187 	P(word|spam): 0.000886 	P(spam|word): 0.854651
cpunks: 1162 	P(word|spam): 0.000867 	P(spam|word): 0.999215
encoding: 1149 	P(word|spam): 0.000858 	P(spam|word): 0.773660
money: 1142 	P(word|spam): 0.000852 	P(spam|word): 0.959331
09: 1141 	P(word|spam): 0.000852 	P(spam|word): 0.663677
0500: 1125 	P(word|spam): 0.000840 	P(spam|word): 0.876833
information: 1119 	P(word|spam): 0.000835 	P(spam|word): 0.760638
now: 1106 	P(word|spam): 0.000826 	P(spam|word): 0.748424
my: 1106 	P(word|spam): 0.000826 	P(spam|word): 0.688424
internet: 1105 	P(word|spam): 0.000825 	P(spam|word): 0.872359
31: 1104 	P(word|spam): 0.000824 	P(spam|word): 0.595930
127: 1102 	P(word|spam): 0.000823 	P(spam|word): 0.367596
reply: 1084 	P(word|spam): 0.000809 	P(spam|word): 0.651607
hotmail: 1077 	P(word|spam): 0.000804 	P(spam|word): 0.915021
only: 1056 	P(word|spam): 0.000788 	P(spam|word): 0.795878
einstein: 1053 	P(word|spam): 0.000786 	P(spam|word): 0.990974
head: 1052 	P(word|spam): 0.000785 	P(spam|word): 0.963201
time: 1045 	P(word|spam): 0.000780 	P(spam|word): 0.800283
ff0000: 1019 	P(word|spam): 0.000761 	P(spam|word): 0.999552
3d2: 1017 	P(word|spam): 0.000759 	P(spam|word): 0.967836
29: 1001 	P(word|spam): 0.000747 	P(spam|word): 0.719841
co: 996 	P(word|spam): 0.000743 	P(spam|word): 0.877654
address: 994 	P(word|spam): 0.000742 	P(spam|word): 0.910855
16: 994 	P(word|spam): 0.000742 	P(spam|word): 0.536004
o: 986 	P(word|spam): 0.000736 	P(spam|word): 0.862902
2e: 984 	P(word|spam): 0.000734 	P(spam|word): 0.998609
microsoft: 982 	P(word|spam): 0.000733 	P(spam|word): 0.798967
postfix: 970 	P(word|spam): 0.000724 	P(spam|word): 0.435048
8859: 970 	P(word|spam): 0.000724 	P(spam|word): 0.839183
14: 955 	P(word|spam): 0.000713 	P(spam|word): 0.561190
title: 948 	P(word|spam): 0.000708 	P(spam|word): 0.979704
colspan: 941 	P(word|spam): 0.000702 	P(spam|word): 0.999030
jmason: 934 	P(word|spam): 0.000697 	P(spam|word): 0.554803
order: 929 	P(word|spam): 0.000693 	P(spam|word): 0.956278
just: 928 	P(word|spam): 0.000693 	P(spam|word): 0.704564
fri: 909 	P(word|spam): 0.000678 	P(spam|word): 0.468600
06: 909 	P(word|spam): 0.000678 	P(spam|word): 0.608037
01: 908 	P(word|spam): 0.000678 	P(spam|word): 0.680365
how: 902 	P(word|spam): 0.000673 	P(spam|word): 0.783104
7: 899 	P(word|spam): 0.000671 	P(spam|word): 0.728657
05: 897 	P(word|spam): 0.000670 	P(spam|word): 0.634776
receive: 897 	P(word|spam): 0.000670 	P(spam|word): 0.986935
up: 895 	P(word|spam): 0.000668 	P(spam|word): 0.745493
3d4: 892 	P(word|spam): 0.000666 	P(spam|word): 0.999488
margin: 891 	P(word|spam): 0.000665 	P(spam|word): 0.996934
sun: 889 	P(word|spam): 0.000664 	P(spam|word): 0.709493
hq: 887 	P(word|spam): 0.000662 	P(spam|word): 0.994368
any: 887 	P(word|spam): 0.000662 	P(spam|word): 0.747796
iso: 885 	P(word|spam): 0.000661 	P(spam|word): 0.825011
home: 873 	P(word|spam): 0.000652 	P(spam|word): 0.871435
03: 864 	P(word|spam): 0.000645 	P(spam|word): 0.683743
remove: 862 	P(word|spam): 0.000643 	P(spam|word): 0.972184
people: 840 	P(word|spam): 0.000627 	P(spam|word): 0.777608
form: 838 	P(word|spam): 0.000625 	P(spam|word): 0.953242
service: 837 	P(word|spam): 0.000625 	P(spam|word): 0.877852
lists: 835 	P(word|spam): 0.000623 	P(spam|word): 0.398376
send: 827 	P(word|spam): 0.000617 	P(spam|word): 0.924913
02: 820 	P(word|spam): 0.000612 	P(spam|word): 0.606882
3d0: 816 	P(word|spam): 0.000609 	P(spam|word): 0.992225
07: 803 	P(word|spam): 0.000599 	P(spam|word): 0.621006
delivered: 802 	P(word|spam): 0.000599 	P(spam|word): 0.476784
tbody: 798 	P(word|spam): 0.000596 	P(spam|word): 0.997716
04: 798 	P(word|spam): 0.000596 	P(spam|word): 0.712216
a3: 789 	P(word|spam): 0.000589 	P(spam|word): 0.900000
3dcenter: 780 	P(word|spam): 0.000582 	P(spam|word): 0.900000
so: 778 	P(word|spam): 0.000581 	P(spam|word): 0.615975
sourceforge: 777 	P(word|spam): 0.000580 	P(spam|word): 0.272059
make: 770 	P(word|spam): 0.000575 	P(spam|word): 0.804382
edt: 769 	P(word|spam): 0.000574 	P(spam|word): 0.482344
what: 765 	P(word|spam): 0.000571 	P(spam|word): 0.653019
08: 761 	P(word|spam): 0.000568 	P(spam|word): 0.587272
about: 760 	P(word|spam): 0.000567 	P(spam|word): 0.654092
3cfont: 757 	P(word|spam): 0.000565 	P(spam|word): 0.900000
2ffont: 757 	P(word|spam): 0.000565 	P(spam|word): 0.900000
mailing: 756 	P(word|spam): 0.000564 	P(spam|word): 0.708813
web: 748 	P(word|spam): 0.000558 	P(spam|word): 0.874984
aol: 748 	P(word|spam): 0.000558 	P(spam|word): 0.935991
66: 747 	P(word|spam): 0.000558 	P(spam|word): 0.828317
site: 741 	P(word|spam): 0.000553 	P(spam|word): 0.894675
35: 737 	P(word|spam): 0.000550 	P(spam|word): 0.666622
2001: 736 	P(word|spam): 0.000549 	P(spam|word): 0.915364
they: 731 	P(word|spam): 0.000546 	P(spam|word): 0.595319
has: 727 	P(word|spam): 0.000543 	P(spam|word): 0.626739
credit: 726 	P(word|spam): 0.000542 	P(spam|word): 0.989419
admin: 720 	P(word|spam): 0.000537 	P(spam|word): 0.225257
over: 717 	P(word|spam): 0.000535 	P(spam|word): 0.841362
was: 709 	P(word|spam): 0.000529 	P(spam|word): 0.576581
help: 708 	P(word|spam): 0.000528 	P(spam|word): 0.458880
class: 708 	P(word|spam): 0.000528 	P(spam|word): 0.936563
211: 707 	P(word|spam): 0.000528 	P(spam|word): 0.834950
priority: 706 	P(word|spam): 0.000527 	P(spam|word): 0.823197
de: 706 	P(word|spam): 0.000527 	P(spam|word): 0.861266
background: 700 	P(word|spam): 0.000522 	P(spam|word): 0.975806
sightings: 698 	P(word|spam): 0.000521 	P(spam|word): 0.997390
alt: 698 	P(word|spam): 0.000521 	P(spam|word): 0.987082
want: 695 	P(word|spam): 0.000519 	P(spam|word): 0.827147
mso: 689 	P(word|spam): 0.000514 	P(spam|word): 0.900000
ds: 688 	P(word|spam): 0.000514 	P(spam|word): 0.994717
213: 684 	P(word|spam): 0.000511 	P(spam|word): 0.930419
b5: 678 	P(word|spam): 0.000506 	P(spam|word): 0.900000
me: 678 	P(word|spam): 0.000506 	P(spam|word): 0.716975
28: 672 	P(word|spam): 0.000502 	P(spam|word): 0.685513
53: 671 	P(word|spam): 0.000501 	P(spam|word): 0.763931
phobos: 671 	P(word|spam): 0.000501 	P(spam|word): 0.363190
mailer: 665 	P(word|spam): 0.000496 	P(spam|word): 0.696655
200: 664 	P(word|spam): 0.000496 	P(spam|word): 0.938664
sat: 656 	P(word|spam): 0.000490 	P(spam|word): 0.687129
webnote: 653 	P(word|spam): 0.000487 	P(spam|word): 0.686473
single: 651 	P(word|spam): 0.000486 	P(spam|word): 0.492804
3b: 650 	P(word|spam): 0.000485 	P(spam|word): 0.900000
like: 648 	P(word|spam): 0.000484 	P(spam|word): 0.672801
meta: 647 	P(word|spam): 0.000483 	P(spam|word): 0.980618
ca: 642 	P(word|spam): 0.000479 	P(spam|word): 0.970318
but: 633 	P(word|spam): 0.000472 	P(spam|word): 0.471582
use: 630 	P(word|spam): 0.000470 	P(spam|word): 0.634089
bb: 629 	P(word|spam): 0.000469 	P(spam|word): 0.994943
times: 628 	P(word|spam): 0.000469 	P(spam|word): 0.911200
phone: 627 	P(word|spam): 0.000468 	P(spam|word): 0.916546
27: 626 	P(word|spam): 0.000467 	P(spam|word): 0.656235
removed: 625 	P(word|spam): 0.000467 	P(spam|word): 0.978548
m: 618 	P(word|spam): 0.000461 	P(spam|word): 0.626410
back: 617 	P(word|spam): 0.000461 	P(spam|word): 0.832915
ist: 615 	P(word|spam): 0.000459 	P(spam|word): 0.462645
don: 612 	P(word|spam): 0.000457 	P(spam|word): 0.690363
cd: 609 	P(word|spam): 0.000455 	P(spam|word): 0.936772
unsubscribe: 608 	P(word|spam): 0.000454 	P(spam|word): 0.437727
40: 608 	P(word|spam): 0.000454 	P(spam|word): 0.716782
65: 608 	P(word|spam): 0.000454 	P(spam|word): 0.925603
0000ff: 608 	P(word|spam): 0.000454 	P(spam|word): 0.900000
ie: 607 	P(word|spam): 0.000453 	P(spam|word): 0.130425
26: 602 	P(word|spam): 0.000449 	P(spam|word): 0.630939
140: 601 	P(word|spam): 0.000449 	P(spam|word): 0.945398
there: 601 	P(word|spam): 0.000449 	P(spam|word): 0.581253
below: 601 	P(word|spam): 0.000449 	P(spam|word): 0.974091
0700: 601 	P(word|spam): 0.000449 	P(spam|word): 0.412391
plain: 599 	P(word|spam): 0.000447 	P(spam|word): 0.506668
life: 593 	P(word|spam): 0.000443 	P(spam|word): 0.935176
software: 592 	P(word|spam): 0.000442 	P(spam|word): 0.799037
105: 592 	P(word|spam): 0.000442 	P(spam|word): 0.952948
180: 589 	P(word|spam): 0.000440 	P(spam|word): 0.980238
normal: 586 	P(word|spam): 0.000437 	P(spam|word): 0.791494
keywords: 585 	P(word|spam): 0.000437 	P(spam|word): 0.996887
taint: 583 	P(word|spam): 0.000435 	P(spam|word): 0.260535
who: 581 	P(word|spam): 0.000434 	P(spam|word): 0.747372
0pt: 575 	P(word|spam): 0.000429 	P(spam|word): 0.900000
black: 570 	P(word|spam): 0.000425 	P(spam|word): 0.978824
delivery: 568 	P(word|spam): 0.000424 	P(spam|word): 0.918738
quoted: 568 	P(word|spam): 0.000424 	P(spam|word): 0.900119
printable: 567 	P(word|spam): 0.000423 	P(spam|word): 0.905210
been: 564 	P(word|spam): 0.000421 	P(spam|word): 0.656894
61: 564 	P(word|spam): 0.000421 	P(spam|word): 0.971673
drop: 563 	P(word|spam): 0.000420 	P(spam|word): 0.464521
these: 563 	P(word|spam): 0.000420 	P(spam|word): 0.782815
64: 563 	P(word|spam): 0.000420 	P(spam|word): 0.663562
them: 562 	P(word|spam): 0.000419 	P(spam|word): 0.706576
program: 562 	P(word|spam): 0.000419 	P(spam|word): 0.895235
report: 562 	P(word|spam): 0.000419 	P(spam|word): 0.869305
49: 561 	P(word|spam): 0.000419 	P(spam|word): 0.719443
am: 558 	P(word|spam): 0.000416 	P(spam|word): 0.830699
n: 557 	P(word|spam): 0.000416 	P(spam|word): 0.860931
online: 557 	P(word|spam): 0.000416 	P(spam|word): 0.895708
than: 552 	P(word|spam): 0.000412 	P(spam|word): 0.681825
a1: 551 	P(word|spam): 0.000411 	P(spam|word): 0.900000
marketing: 550 	P(word|spam): 0.000411 	P(spam|word): 0.990133
waste: 549 	P(word|spam): 0.000410 	P(spam|word): 0.987675
their: 546 	P(word|spam): 0.000408 	P(spam|word): 0.700552
ba: 542 	P(word|spam): 0.000405 	P(spam|word): 0.996641
index: 542 	P(word|spam): 0.000405 	P(spam|word): 0.933896
fetchmail: 542 	P(word|spam): 0.000405 	P(spam|word): 0.460197
company: 540 	P(word|spam): 0.000403 	P(spam|word): 0.857178
call: 540 	P(word|spam): 0.000403 	P(spam|word): 0.917723
63: 539 	P(word|spam): 0.000402 	P(spam|word): 0.937259
3d3: 539 	P(word|spam): 0.000402 	P(spam|word): 0.999153
c: 539 	P(word|spam): 0.000402 	P(spam|word): 0.764767
offer: 537 	P(word|spam): 0.000401 	P(spam|word): 0.965511
locust: 535 	P(word|spam): 0.000399 	P(spam|word): 0.900000
3darial: 535 	P(word|spam): 0.000399 	P(spam|word): 0.948195
work: 534 	P(word|spam): 0.000399 	P(spam|word): 0.728383
link: 531 	P(word|spam): 0.000396 	P(spam|word): 0.922261
envelope: 531 	P(word|spam): 0.000396 	P(spam|word): 0.896655
em: 530 	P(word|spam): 0.000396 	P(spam|word): 0.984726
today: 527 	P(word|spam): 0.000393 	P(spam|word): 0.895953
56: 525 	P(word|spam): 0.000392 	P(spam|word): 0.713753
74: 525 	P(word|spam): 0.000392 	P(spam|word): 0.975392
would: 524 	P(word|spam): 0.000391 	P(spam|word): 0.584374
ad: 523 	P(word|spam): 0.000390 	P(spam|word): 0.984524
listinfo: 521 	P(word|spam): 0.000389 	P(spam|word): 0.267921
first: 521 	P(word|spam): 0.000389 	P(spam|word): 0.780933
insurance: 520 	P(word|spam): 0.000388 	P(spam|word): 0.995628
need: 519 	P(word|spam): 0.000387 	P(spam|word): 0.762985
info: 518 	P(word|spam): 0.000387 	P(spam|word): 0.889426
36: 518 	P(word|spam): 0.000387 	P(spam|word): 0.726022
jpg: 516 	P(word|spam): 0.000385 	P(spam|word): 0.980048
request: 516 	P(word|spam): 0.000385 	P(spam|word): 0.305862
best: 515 	P(word|spam): 0.000384 	P(spam|word): 0.877100
htm: 512 	P(word|spam): 0.000382 	P(spam|word): 0.936510
bottom: 511 	P(word|spam): 0.000381 	P(spam|word): 0.977289
bc: 508 	P(word|spam): 0.000379 	P(spam|word): 0.981470
other: 508 	P(word|spam): 0.000379 	P(spam|word): 0.646944
d: 508 	P(word|spam): 0.000379 	P(spam|word): 0.734526
also: 507 	P(word|spam): 0.000378 	P(spam|word): 0.702103
42: 506 	P(word|spam): 0.000378 	P(spam|word): 0.724638
81: 504 	P(word|spam): 0.000376 	P(spam|word): 0.970110
r: 504 	P(word|spam): 0.000376 	P(spam|word): 0.774660
ptsize: 503 	P(word|spam): 0.000375 	P(spam|word): 0.900000
000066: 503 	P(word|spam): 0.000375 	P(spam|word): 0.900000
34: 502 	P(word|spam): 0.000375 	P(spam|word): 0.684762
which: 496 	P(word|spam): 0.000370 	P(spam|word): 0.554647
cdt: 489 	P(word|spam): 0.000365 	P(spam|word): 0.957092
line: 486 	P(word|spam): 0.000363 	P(spam|word): 0.775527
state: 486 	P(word|spam): 0.000363 	P(spam|word): 0.936626
48: 485 	P(word|spam): 0.000362 	P(spam|word): 0.660430
0000: 485 	P(word|spam): 0.000362 	P(spam|word): 0.557168
webmaster: 483 	P(word|spam): 0.000361 	P(spam|word): 0.992492
sf: 483 	P(word|spam): 0.000361 	P(spam|word): 0.349306
bordercolor: 482 	P(word|spam): 0.000360 	P(spam|word): 0.900000
32: 482 	P(word|spam): 0.000360 	P(spam|word): 0.640245
quot: 480 	P(word|spam): 0.000358 	P(spam|word): 0.992445
submit: 477 	P(word|spam): 0.000356 	P(spam|word): 0.969371
day: 477 	P(word|spam): 0.000356 	P(spam|word): 0.862143
55: 475 	P(word|spam): 0.000355 	P(spam|word): 0.658232
45: 474 	P(word|spam): 0.000354 	P(spam|word): 0.540584
most: 470 	P(word|spam): 0.000351 	P(spam|word): 0.753859
million: 467 	P(word|spam): 0.000349 	P(spam|word): 0.928280
when: 466 	P(word|spam): 0.000348 	P(spam|word): 0.562059
sender: 464 	P(word|spam): 0.000346 	P(spam|word): 0.386150
find: 464 	P(word|spam): 0.000346 	P(spam|word): 0.824666
