977808
com: 17127 	P(word|ham): 0.017516 	P(ham|word): 0.748740
users: 4890 	P(word|ham): 0.005001 	P(ham|word): 0.053805
is: 4880 	P(word|ham): 0.004991 	P(ham|word): 0.695386
3: 4711 	P(word|ham): 0.004818 	P(ham|word): 0.653837
sourceforge: 4552 	P(word|ham): 0.004655 	P(ham|word): 0.272059
spamassassin: 4485 	P(word|ham): 0.004587 	P(ham|word): 0.378029
it: 4455 	P(word|ham): 0.004556 	P(ham|word): 0.612416
that: 4436 	P(word|ham): 0.004537 	P(ham|word): 0.591695
jm: 4406 	P(word|ham): 0.004506 	P(ham|word): 0.621554
127: 4151 	P(word|ham): 0.004245 	P(ham|word): 0.367596
subject: 4081 	P(word|ham): 0.004174 	P(ham|word): 0.575993
mailman: 3924 	P(word|ham): 0.004013 	P(ham|word): 0.202476
rpm: 3623 	P(word|ham): 0.003705 	P(ham|word): 0.001207
taint: 3623 	P(word|ham): 0.003705 	P(ham|word): 0.260535
razor: 3504 	P(word|ham): 0.003584 	P(ham|word): 0.100000
mailto: 3449 	P(word|ham): 0.003527 	P(ham|word): 0.439465
on: 3212 	P(word|ham): 0.003285 	P(ham|word): 0.687341
lugh: 3207 	P(word|ham): 0.003280 	P(ham|word): 0.068671
listinfo: 3117 	P(word|ham): 0.003188 	P(ham|word): 0.267921
version: 3116 	P(word|ham): 0.003187 	P(ham|word): 0.572647
2: 3109 	P(word|ham): 0.003180 	P(ham|word): 0.830067
freshrpms: 3001 	P(word|ham): 0.003069 	P(ham|word): 0.100000
be: 2952 	P(word|ham): 0.003019 	P(ham|word): 0.719130
netnoteinc: 2935 	P(word|ham): 0.003002 	P(ham|word): 0.745228
5: 2908 	P(word|ham): 0.002974 	P(ham|word): 0.777981
you: 2894 	P(word|ham): 0.002960 	P(ham|word): 0.885817
s: 2798 	P(word|ham): 0.002862 	P(ham|word): 0.674494
lists: 2761 	P(word|ham): 0.002824 	P(ham|word): 0.398376
postfix: 2758 	P(word|ham): 0.002821 	P(ham|word): 0.435048
tue: 2741 	P(word|ham): 0.002803 	P(ham|word): 0.549989
10: 2655 	P(word|ham): 0.002715 	P(ham|word): 0.656254
this: 2627 	P(word|ham): 0.002687 	P(ham|word): 0.806038
tuatha: 2626 	P(word|ham): 0.002686 	P(ham|word): 0.070523
content: 2598 	P(word|ham): 0.002657 	P(ham|word): 0.767366
phobos: 2576 	P(word|ham): 0.002634 	P(ham|word): 0.363190
request: 2564 	P(word|ham): 0.002622 	P(ham|word): 0.305862
0400: 2480 	P(word|ham): 0.002536 	P(ham|word): 0.564637
wed: 2440 	P(word|ham): 0.002495 	P(ham|word): 0.557672
19: 2435 	P(word|ham): 0.002490 	P(ham|word): 0.544795
22: 2434 	P(word|ham): 0.002489 	P(ham|word): 0.777162
mon: 2342 	P(word|ham): 0.002395 	P(ham|word): 0.649371
fri: 2257 	P(word|ham): 0.002308 	P(ham|word): 0.468600
12: 2203 	P(word|ham): 0.002253 	P(ham|word): 0.719433
message: 2191 	P(word|ham): 0.002241 	P(ham|word): 0.680159
exmh: 2166 	P(word|ham): 0.002215 	P(ham|word): 0.100000
13: 2105 	P(word|ham): 0.002153 	P(ham|word): 0.571072
example: 2096 	P(word|ham): 0.002144 	P(ham|word): 0.225048
20: 2079 	P(word|ham): 0.002126 	P(ham|word): 0.867116
15: 2045 	P(word|ham): 0.002091 	P(ham|word): 0.631268
www: 2023 	P(word|ham): 0.002069 	P(ham|word): 0.843211
21: 2006 	P(word|ham): 0.002052 	P(ham|word): 0.617808
mail: 2005 	P(word|ham): 0.002051 	P(ham|word): 0.765182
00: 1992 	P(word|ham): 0.002037 	P(ham|word): 0.701981
sf: 1970 	P(word|ham): 0.002015 	P(ham|word): 0.349306
date: 1948 	P(word|ham): 0.001992 	P(ham|word): 0.698786
delivered: 1927 	P(word|ham): 0.001971 	P(ham|word): 0.476784
have: 1910 	P(word|ham): 0.001953 	P(ham|word): 0.730954
17: 1897 	P(word|ham): 0.001940 	P(ham|word): 0.677005
16: 1884 	P(word|ham): 0.001927 	P(ham|word): 0.536004
0700: 1875 	P(word|ham): 0.001918 	P(ham|word): 0.412391
t: 1848 	P(word|ham): 0.001890 	P(ham|word): 0.667841
as: 1831 	P(word|ham): 0.001873 	P(ham|word): 0.696926
dogma: 1829 	P(word|ham): 0.001871 	P(ham|word): 0.612251
help: 1828 	P(word|ham): 0.001869 	P(ham|word): 0.458880
are: 1828 	P(word|ham): 0.001869 	P(ham|word): 0.780170
slashnull: 1825 	P(word|ham): 0.001866 	P(ham|word): 0.612591
edt: 1807 	P(word|ham): 0.001848 	P(ham|word): 0.482344
zzzlist: 1787 	P(word|ham): 0.001828 	P(ham|word): 0.100000
not: 1747 	P(word|ham): 0.001787 	P(ham|word): 0.724093
unsubscribe: 1710 	P(word|ham): 0.001749 	P(ham|word): 0.437727
subscribe: 1692 	P(word|ham): 0.001730 	P(ham|word): 0.272871
at: 1674 	P(word|ham): 0.001712 	P(ham|word): 0.699887
23: 1673 	P(word|ham): 0.001711 	P(ham|word): 0.643462
or: 1642 	P(word|ham): 0.001679 	P(ham|word): 0.806863
jmason: 1641 	P(word|ham): 0.001678 	P(ham|word): 0.554803
31: 1639 	P(word|ham): 0.001676 	P(ham|word): 0.595930
14: 1635 	P(word|ham): 0.001672 	P(ham|word): 0.561190
thu: 1619 	P(word|ham): 0.001656 	P(ham|word): 0.647962
sender: 1615 	P(word|ham): 0.001652 	P(ham|word): 0.386150
re: 1589 	P(word|ham): 0.001625 	P(ham|word): 0.342475
ist: 1564 	P(word|ham): 0.001599 	P(ham|word): 0.462645
but: 1553 	P(word|ham): 0.001588 	P(ham|word): 0.471582
labs: 1538 	P(word|ham): 0.001573 	P(ham|word): 0.717492
if: 1528 	P(word|ham): 0.001563 	P(ham|word): 0.749945
18: 1522 	P(word|ham): 0.001557 	P(ham|word): 0.651935
return: 1516 	P(word|ham): 0.001550 	P(ham|word): 0.681424
yyyy: 1509 	P(word|ham): 0.001543 	P(ham|word): 0.658510
path: 1502 	P(word|ham): 0.001536 	P(ham|word): 0.640839
single: 1467 	P(word|ham): 0.001500 	P(ham|word): 0.492804
mime: 1467 	P(word|ham): 0.001500 	P(ham|word): 0.679422
type: 1465 	P(word|ham): 0.001498 	P(ham|word): 0.823833
drop: 1421 	P(word|ham): 0.001453 	P(ham|word): 0.464521
can: 1412 	P(word|ham): 0.001444 	P(ham|word): 0.745795
imap: 1409 	P(word|ham): 0.001441 	P(ham|word): 0.376143
text: 1400 	P(word|ham): 0.001432 	P(ham|word): 0.825365
fetchmail: 1392 	P(word|ham): 0.001424 	P(ham|word): 0.460197
24: 1383 	P(word|ham): 0.001414 	P(ham|word): 0.741620
precedence: 1370 	P(word|ham): 0.001401 	P(ham|word): 0.319666
errors: 1353 	P(word|ham): 0.001384 	P(ham|word): 0.237053
bulk: 1352 	P(word|ham): 0.001383 	P(ham|word): 0.403098
4: 1345 	P(word|ham): 0.001376 	P(ham|word): 0.810304
root: 1339 	P(word|ham): 0.001369 	P(ham|word): 0.155959
beenthere: 1330 	P(word|ham): 0.001360 	P(ham|word): 0.202248
06: 1283 	P(word|ham): 0.001312 	P(ham|word): 0.608037
redhat: 1279 	P(word|ham): 0.001308 	P(ham|word): 0.100000
plain: 1277 	P(word|ham): 0.001306 	P(ham|word): 0.506668
reply: 1269 	P(word|ham): 0.001298 	P(ham|word): 0.651607
09: 1266 	P(word|ham): 0.001295 	P(ham|word): 0.663677
egwn: 1224 	P(word|ham): 0.001252 	P(ham|word): 0.100000
group: 1219 	P(word|ham): 0.001247 	P(ham|word): 0.180950
us: 1211 	P(word|ham): 0.001238 	P(ham|word): 0.778417
usw: 1206 	P(word|ham): 0.001233 	P(ham|word): 0.181330
irish: 1200 	P(word|ham): 0.001227 	P(ham|word): 0.071178
charset: 1195 	P(word|ham): 0.001222 	P(ham|word): 0.736182
08: 1171 	P(word|ham): 0.001198 	P(ham|word): 0.587272
02: 1163 	P(word|ham): 0.001189 	P(ham|word): 0.606882
an: 1154 	P(word|ham): 0.001180 	P(ham|word): 0.710417
was: 1140 	P(word|ham): 0.001166 	P(ham|word): 0.576581
05: 1130 	P(word|ham): 0.001156 	P(ham|word): 0.634776
25: 1099 	P(word|ham): 0.001124 	P(ham|word): 0.736091
my: 1096 	P(word|ham): 0.001121 	P(ham|word): 0.688424
they: 1088 	P(word|ham): 0.001113 	P(ham|word): 0.595319
workers: 1084 	P(word|ham): 0.001109 	P(ham|word): 0.008015
07: 1073 	P(word|ham): 0.001097 	P(ham|word): 0.621006
so: 1062 	P(word|ham): 0.001086 	P(ham|word): 0.615975
one: 1038 	P(word|ham): 0.001062 	P(ham|word): 0.722936
all: 992 	P(word|ham): 0.001015 	P(ham|word): 0.811463
pdt: 957 	P(word|ham): 0.000979 	P(ham|word): 0.377448
will: 949 	P(word|ham): 0.000971 	P(ham|word): 0.857069
has: 948 	P(word|ham): 0.000970 	P(ham|word): 0.626739
there: 948 	P(word|ham): 0.000970 	P(ham|word): 0.581253
talk: 948 	P(word|ham): 0.000970 	P(ham|word): 0.345936
https: 947 	P(word|ham): 0.000968 	P(ham|word): 0.392121
do: 946 	P(word|ham): 0.000967 	P(ham|word): 0.754241
smtp: 945 	P(word|ham): 0.000966 	P(ham|word): 0.782853
01: 934 	P(word|ham): 0.000955 	P(ham|word): 0.680365
30: 925 	P(word|ham): 0.000946 	P(ham|word): 0.801329
we: 924 	P(word|ham): 0.000945 	P(ham|word): 0.872850
post: 924 	P(word|ham): 0.000945 	P(ham|word): 0.453361
archive: 919 	P(word|ham): 0.000940 	P(ham|word): 0.212116
what: 890 	P(word|ham): 0.000910 	P(ham|word): 0.653019
45: 882 	P(word|ham): 0.000902 	P(ham|word): 0.540584
about: 880 	P(word|ham): 0.000900 	P(ham|word): 0.654092
03: 875 	P(word|ham): 0.000895 	P(ham|word): 0.683743
which: 872 	P(word|ham): 0.000892 	P(ham|word): 0.554647
your: 858 	P(word|ham): 0.000877 	P(ham|word): 0.945993
29: 853 	P(word|ham): 0.000872 	P(ham|word): 0.719841
iiu: 852 	P(word|ham): 0.000871 	P(ham|word): 0.044212
just: 852 	P(word|ham): 0.000871 	P(ham|word): 0.704564
0000: 844 	P(word|ham): 0.000863 	P(ham|word): 0.557168
listman: 823 	P(word|ham): 0.000842 	P(ham|word): 0.100000
ascii: 819 	P(word|ham): 0.000838 	P(ham|word): 0.399643
would: 816 	P(word|ham): 0.000835 	P(ham|word): 0.584374
now: 814 	P(word|ham): 0.000832 	P(ham|word): 0.748424
m: 807 	P(word|ham): 0.000825 	P(ham|word): 0.626410
35: 807 	P(word|ham): 0.000825 	P(ham|word): 0.666622
sun: 797 	P(word|ham): 0.000815 	P(ham|word): 0.709493
use: 796 	P(word|ham): 0.000814 	P(ham|word): 0.634089
when: 795 	P(word|ham): 0.000813 	P(ham|word): 0.562059
information: 771 	P(word|ham): 0.000788 	P(ham|word): 0.760638
26: 771 	P(word|ham): 0.000788 	P(ham|word): 0.630939
some: 768 	P(word|ham): 0.000785 	P(ham|word): 0.499456
user: 765 	P(word|ham): 0.000782 	P(ham|word): 0.225967
no: 762 	P(word|ham): 0.000779 	P(ham|word): 0.847092
wrote: 761 	P(word|ham): 0.000778 	P(ham|word): 0.038720
more: 753 	P(word|ham): 0.000770 	P(ham|word): 0.810612
get: 752 	P(word|ham): 0.000769 	P(ham|word): 0.801752
transfer: 739 	P(word|ham): 0.000756 	P(ham|word): 0.781615
encoding: 736 	P(word|ham): 0.000753 	P(ham|word): 0.773660
7: 733 	P(word|ham): 0.000750 	P(ham|word): 0.728657
0200: 719 	P(word|ham): 0.000735 	P(ham|word): 0.386639
27: 718 	P(word|ham): 0.000734 	P(ham|word): 0.656235
194: 714 	P(word|ham): 0.000730 	P(ham|word): 0.313618
04: 706 	P(word|ham): 0.000722 	P(ham|word): 0.712216
out: 697 	P(word|ham): 0.000713 	P(ham|word): 0.804503
like: 690 	P(word|ham): 0.000706 	P(ham|word): 0.672801
references: 685 	P(word|ham): 0.000701 	P(ham|word): 0.024933
mailing: 680 	P(word|ham): 0.000695 	P(ham|word): 0.708813
spam: 677 	P(word|ham): 0.000692 	P(ham|word): 0.277907
28: 675 	P(word|ham): 0.000690 	P(ham|word): 0.685513
up: 669 	P(word|ham): 0.000684 	P(ham|word): 0.745493
new: 659 	P(word|ham): 0.000674 	P(ham|word): 0.820523
any: 655 	P(word|ham): 0.000670 	P(ham|word): 0.747796
sat: 654 	P(word|ham): 0.000669 	P(ham|word): 0.687129
webnote: 653 	P(word|ham): 0.000668 	P(ham|word): 0.686473
been: 645 	P(word|ham): 0.000660 	P(ham|word): 0.656894
warning: 641 	P(word|ham): 0.000656 	P(ham|word): 0.248872
125: 635 	P(word|ham): 0.000649 	P(ham|word): 0.287456
mailer: 634 	P(word|ham): 0.000648 	P(ham|word): 0.696655
64: 625 	P(word|ham): 0.000639 	P(ham|word): 0.663562
helo: 612 	P(word|ham): 0.000626 	P(ham|word): 0.374008
other: 607 	P(word|ham): 0.000621 	P(ham|word): 0.646944
system: 607 	P(word|ham): 0.000621 	P(ham|word): 0.550848
exim: 603 	P(word|ham): 0.000617 	P(ham|word): 0.207252
don: 601 	P(word|ham): 0.000615 	P(ham|word): 0.690363
email: 594 	P(word|ham): 0.000607 	P(ham|word): 0.912607
only: 593 	P(word|ham): 0.000606 	P(ham|word): 0.795878
32: 593 	P(word|ham): 0.000606 	P(ham|word): 0.640245
authentication: 590 	P(word|ham): 0.000603 	P(ham|word): 0.256576
me: 586 	P(word|ham): 0.000599 	P(ham|word): 0.716975
33: 584 	P(word|ham): 0.000597 	P(ham|word): 0.618268
193: 581 	P(word|ham): 0.000594 	P(ham|word): 0.543557
50: 579 	P(word|ham): 0.000592 	P(ham|word): 0.870081
list1: 574 	P(word|ham): 0.000587 	P(ham|word): 0.210743
time: 571 	P(word|ham): 0.000584 	P(ham|word): 0.800283
than: 564 	P(word|ham): 0.000577 	P(ham|word): 0.681825
pipermail: 559 	P(word|ham): 0.000572 	P(ham|word): 0.264895
debian: 559 	P(word|ham): 0.000572 	P(ham|word): 0.190290
52: 556 	P(word|ham): 0.000569 	P(ham|word): 0.616951
how: 547 	P(word|ham): 0.000559 	P(ham|word): 0.783104
48: 546 	P(word|ham): 0.000558 	P(ham|word): 0.660430
145: 545 	P(word|ham): 0.000557 	P(ham|word): 0.196829
microsoft: 541 	P(word|ham): 0.000553 	P(ham|word): 0.798967
55: 540 	P(word|ham): 0.000552 	P(ham|word): 0.658232
agent: 530 	P(word|ham): 0.000542 	P(ham|word): 0.310486
then: 529 	P(word|ham): 0.000541 	P(ham|word): 0.647602
people: 526 	P(word|ham): 0.000538 	P(ham|word): 0.777608
40: 526 	P(word|ham): 0.000538 	P(ham|word): 0.716782
un: 525 	P(word|ham): 0.000537 	P(ham|word): 0.223461
social: 524 	P(word|ham): 0.000536 	P(ham|word): 0.333962
subscription: 524 	P(word|ham): 0.000536 	P(ham|word): 0.189623
57: 522 	P(word|ham): 0.000534 	P(ham|word): 0.642248
original: 520 	P(word|ham): 0.000532 	P(ham|word): 0.385515
file: 519 	P(word|ham): 0.000531 	P(ham|word): 0.277406
46: 519 	P(word|ham): 0.000531 	P(ham|word): 0.639232
using: 516 	P(word|ham): 0.000528 	P(ham|word): 0.535783
59: 514 	P(word|ham): 0.000526 	P(ham|word): 0.582847
listmaster: 513 	P(word|ham): 0.000525 	P(ham|word): 0.067649
maintainer: 513 	P(word|ham): 0.000525 	P(ham|word): 0.063924
them: 511 	P(word|ham): 0.000523 	P(ham|word): 0.706576
their: 511 	P(word|ham): 0.000523 	P(ham|word): 0.700552
44: 508 	P(word|ham): 0.000520 	P(ham|word): 0.601359
34: 506 	P(word|ham): 0.000517 	P(ham|word): 0.684762
qmail: 504 	P(word|ham): 0.000515 	P(ham|word): 0.267356
host: 504 	P(word|ham): 0.000515 	P(ham|word): 0.402401
found: 494 	P(word|ham): 0.000505 	P(ham|word): 0.352819
51: 492 	P(word|ham): 0.000503 	P(ham|word): 0.666956
ve: 485 	P(word|ham): 0.000496 	P(ham|word): 0.614436
server: 485 	P(word|ham): 0.000496 	P(ham|word): 0.480645
58: 484 	P(word|ham): 0.000495 	P(ham|word): 0.646909
cc: 480 	P(word|ham): 0.000491 	P(ham|word): 0.887416
mx1: 479 	P(word|ham): 0.000490 	P(ham|word): 0.250197
49: 479 	P(word|ham): 0.000490 	P(ham|word): 0.719443
54: 476 	P(word|ham): 0.000487 	P(ham|word): 0.630524
also: 471 	P(word|ham): 0.000482 	P(ham|word): 0.702103
its: 466 	P(word|ham): 0.000477 	P(ham|word): 0.557367
56: 461 	P(word|ham): 0.000471 	P(ham|word): 0.713753
may: 461 	P(word|ham): 0.000471 	P(ham|word): 0.920384
53: 454 	P(word|ham): 0.000464 	P(ham|word): 0.763931
should: 453 	P(word|ham): 0.000463 	P(ham|word): 0.542161
know: 450 	P(word|ham): 0.000460 	P(ham|word): 0.668789
7bit: 448 	P(word|ham): 0.000458 	P(ham|word): 0.656468
41: 448 	P(word|ham): 0.000458 	P(ham|word): 0.677071
claimed: 448 	P(word|ham): 0.000458 	P(ham|word): 0.312488
yahoo: 442 	P(word|ham): 0.000452 	P(ham|word): 0.854651
khare: 441 	P(word|ham): 0.000451 	P(ham|word): 0.336174
set: 440 	P(word|ham): 0.000450 	P(ham|word): 0.398254
friends: 440 	P(word|ham): 0.000450 	P(ham|word): 0.503756
38: 437 	P(word|ham): 0.000447 	P(ham|word): 0.676303
47: 436 	P(word|ham): 0.000446 	P(ham|word): 0.654365
43: 436 	P(word|ham): 0.000446 	P(ham|word): 0.668188
work: 436 	P(word|ham): 0.000446 	P(ham|word): 0.728383
edu: 435 	P(word|ham): 0.000445 	P(ham|word): 0.343604
who: 430 	P(word|ham): 0.000440 	P(ham|word): 0.747372
rohit: 429 	P(word|ham): 0.000439 	P(ham|word): 0.342358
36: 428 	P(word|ham): 0.000438 	P(ham|word): 0.726022
suberic: 424 	P(word|ham): 0.000434 	P(ham|word): 0.100000
perl: 424 	P(word|ham): 0.000434 	P(ham|word): 0.106162
way: 423 	P(word|ham): 0.000433 	P(ham|word): 0.641033
e: 423 	P(word|ham): 0.000433 	P(ham|word): 0.904793
37: 423 	P(word|ham): 0.000433 	P(ham|word): 0.699166
could: 421 	P(word|ham): 0.000431 	P(ham|word): 0.603775
42: 421 	P(word|ham): 0.000431 	P(ham|word): 0.724638
b: 418 	P(word|ham): 0.000427 	P(ham|word): 0.984004
39: 417 	P(word|ham): 0.000426 	P(ham|word): 0.705843
eircom: 414 	P(word|ham): 0.000423 	P(ham|word): 0.394126
iso: 411 	P(word|ham): 0.000420 	P(ham|word): 0.825011
make: 410 	P(word|ham): 0.000419 	P(ham|word): 0.804382
network: 408 	P(word|ham): 0.000417 	P(ham|word): 0.489951
into: 407 	P(word|ham): 0.000416 	P(ham|word): 0.701573
8859: 407 	P(word|ham): 0.000416 	P(ham|word): 0.839183
161: 407 	P(word|ham): 0.000416 	P(ham|word): 0.500153
236: 403 	P(word|ham): 0.000412 	P(ham|word): 0.452301
lair: 402 	P(word|ham): 0.000411 	P(ham|word): 0.357140
d: 402 	P(word|ham): 0.000411 	P(ham|word): 0.734526
deepeddy: 400 	P(word|ham): 0.000409 	P(ham|word): 0.100000
had: 398 	P(word|ham): 0.000407 	P(ham|word): 0.574072
well: 396 	P(word|ham): 0.000405 	P(ham|word): 0.551057
list2: 389 	P(word|ham): 0.000398 	P(ham|word): 0.183769
va: 388 	P(word|ham): 0.000397 	P(ham|word): 0.305633
invoked: 383 	P(word|ham): 0.000392 	P(ham|word): 0.276946
mm2: 382 	P(word|ham): 0.000391 	P(ham|word): 0.190284
think: 381 	P(word|ham): 0.000390 	P(ham|word): 0.492695
windows: 379 	P(word|ham): 0.000388 	P(ham|word): 0.696903
172: 378 	P(word|ham): 0.000387 	P(ham|word): 0.442448
212: 378 	P(word|ham): 0.000387 	P(ham|word): 0.684755
see: 376 	P(word|ham): 0.000385 	P(ham|word): 0.717891
uk: 372 	P(word|ham): 0.000380 	P(ham|word): 0.708025
clean: 372 	P(word|ham): 0.000380 	P(ham|word): 0.241178
because: 372 	P(word|ham): 0.000380 	P(ham|word): 0.692154
he: 367 	P(word|ham): 0.000375 	P(ham|word): 0.521937
html: 365 	P(word|ham): 0.000373 	P(ham|word): 0.957525
even: 365 	P(word|ham): 0.000373 	P(ham|word): 0.718740
en: 364 	P(word|ham): 0.000372 	P(ham|word): 0.687651
ximian: 364 	P(word|ham): 0.000372 	P(ham|word): 0.100000
c: 363 	P(word|ham): 0.000371 	P(ham|word): 0.764767
120: 362 	P(word|ham): 0.000370 	P(ham|word): 0.638484
files: 360 	P(word|ham): 0.000368 	P(ham|word): 0.277020
said: 360 	P(word|ham): 0.000368 	P(ham|word): 0.286433
does: 359 	P(word|ham): 0.000367 	P(ham|word): 0.689442
url: 358 	P(word|ham): 0.000366 	P(ham|word): 0.528129
code: 358 	P(word|ham): 0.000366 	P(ham|word): 0.532179
216: 357 	P(word|ham): 0.000365 	P(ham|word): 0.601394
internet: 354 	P(word|ham): 0.000362 	P(ham|word): 0.872359
need: 353 	P(word|ham): 0.000361 	P(ham|word): 0.762985
8bit: 348 	P(word|ham): 0.000356 	P(ham|word): 0.615102
0500: 346 	P(word|ham): 0.000354 	P(ham|word): 0.876833
o: 343 	P(word|ham): 0.000351 	P(ham|word): 0.862902
very: 342 	P(word|ham): 0.000350 	P(ham|word): 0.711383
these: 342 	P(word|ham): 0.000350 	P(ham|word): 0.782815
were: 341 	P(word|ham): 0.000349 	P(ham|word): 0.497188
66: 339 	P(word|ham): 0.000347 	P(ham|word): 0.828317
normal: 338 	P(word|ham): 0.000346 	P(ham|word): 0.791494
most: 336 	P(word|ham): 0.000344 	P(ham|word): 0.753859
priority: 332 	P(word|ham): 0.000340 	P(ham|word): 0.823197
136: 329 	P(word|ham): 0.000336 	P(ham|word): 0.314693
int: 328 	P(word|ham): 0.000335 	P(ham|word): 0.152711
software: 326 	P(word|ham): 0.000333 	P(ham|word): 0.799037
since: 324 	P(word|ham): 0.000331 	P(ham|word): 0.501721
mimeole: 323 	P(word|ham): 0.000330 	P(ham|word): 0.614345
still: 322 	P(word|ham): 0.000329 	P(ham|word): 0.513135
r: 321 	P(word|ham): 0.000328 	P(ham|word): 0.774660
here: 321 	P(word|ham): 0.000328 	P(ham|word): 0.919913
first: 320 	P(word|ham): 0.000327 	P(ham|word): 0.780933
localdomain: 320 	P(word|ham): 0.000327 	P(ham|word): 0.109655
local: 319 	P(word|ham): 0.000326 	P(ham|word): 0.531068
want: 318 	P(word|ham): 0.000325 	P(ham|word): 0.827147
kevin: 317 	P(word|ham): 0.000324 	P(ham|word): 0.033382
good: 317 	P(word|ham): 0.000324 	P(ham|word): 0.683733
mutt: 315 	P(word|ham): 0.000322 	P(ham|word): 0.006903
corp: 315 	P(word|ham): 0.000322 	P(ham|word): 0.082872
much: 310 	P(word|ham): 0.000317 	P(ham|word): 0.740491
thinkgeek: 310 	P(word|ham): 0.000317 	P(ham|word): 0.640270
jinny: 310 	P(word|ham): 0.000317 	P(ham|word): 0.100000
line: 308 	P(word|ham): 0.000315 	P(ham|word): 0.775527
211: 306 	P(word|ham): 0.000313 	P(ham|word): 0.834950
matthias: 305 	P(word|ham): 0.000312 	P(ham|word): 0.100000
co: 304 	P(word|ham): 0.000311 	P(ham|word): 0.877654
problem: 300 	P(word|ham): 0.000307 	P(ham|word): 0.347591
ll: 298 	P(word|ham): 0.000305 	P(ham|word): 0.690043
171: 297 	P(word|ham): 0.000304 	P(ham|word): 0.317146
inline: 296 	P(word|ham): 0.000303 	P(ham|word): 0.214879
over: 296 	P(word|ham): 0.000303 	P(ham|word): 0.841362
many: 295 	P(word|ham): 0.000302 	P(ham|word): 0.757558
used: 293 	P(word|ham): 0.000300 	P(ham|word): 0.632181
same: 292 	P(word|ham): 0.000299 	P(ham|word): 0.592615
disposition: 289 	P(word|ham): 0.000296 	P(ham|word): 0.270729
changes: 289 	P(word|ham): 0.000296 	P(ham|word): 0.148394
world: 286 	P(word|ham): 0.000292 	P(ham|word): 0.715185
freshmeat: 283 	P(word|ham): 0.000289 	P(ham|word): 0.030018
john: 283 	P(word|ham): 0.000289 	P(ham|word): 0.262479
home: 282 	P(word|ham): 0.000288 	P(ham|word): 0.871435
pgp: 282 	P(word|ham): 0.000288 	P(ham|word): 0.100000
being: 280 	P(word|ham): 0.000286 	P(ham|word): 0.627037
dublin: 280 	P(word|ham): 0.000286 	P(ham|word): 0.214879
134: 279 	P(word|ham): 0.000285 	P(ham|word): 0.465554
159: 278 	P(word|ham): 0.000284 	P(ham|word): 0.624318
where: 278 	P(word|ham): 0.000284 	P(ham|word): 0.625426
before: 277 	P(word|ham): 0.000283 	P(ham|word): 0.658548
192: 275 	P(word|ham): 0.000281 	P(ham|word): 0.545917
after: 275 	P(word|ham): 0.000281 	P(ham|word): 0.701381
vircio: 274 	P(word|ham): 0.000280 	P(ham|word): 0.100000
dcu: 271 	P(word|ham): 0.000277 	P(ham|word): 0.008015
back: 271 	P(word|ham): 0.000277 	P(ham|word): 0.832915
